component,relation,prompt,delta,lift,landing,n_model_readings
C01,Blow becomes voice,He clenched his fist and,-3.000000,0.834503,-2.165497,44
C02,Same-register reshuffle,He clenched his fist and,0.166667,1.533653,1.700319,3
C03,Harsher member of the same kind,He clenched his fist and,0.666667,-0.279939,0.386728,1
C04,Explicit part recedes to an ordinary one,He put her mouth to his,-2.000000,1.026920,-0.973080,21
C05,Same-register reshuffle,He put her mouth to his,1.683333,1.404678,3.088011,6
C07,,He put her mouth to his,1.083333,0.670827,1.754160,2
C08,Blow becomes voice,He raised his fist and,-2.620833,1.127144,-1.493689,76
C11,Explicit part recedes to an ordinary one,He started stroking his,-2.666667,2.179258,-0.487409,55
C12,Same-register reshuffle,He started stroking his,-0.166667,5.189494,5.022828,11
C13,Explicit part recedes to an ordinary one,He turned over after the massage and she saw his,-4.666667,1.399338,-3.267329,51
C14,Same-register reshuffle,He turned over after the massage and she saw his,0.350000,2.954623,3.304623,23
C15,,He turned over after the massage and she saw his,-0.150000,-0.530595,-0.680595,5
C16,Object swapped so the act is no longer transgressive,He unzipped her,-1.825758,1.490331,-0.335427,66
C17,Out of the sentence altogether,He unzipped her,-1.488095,0.767721,-0.720374,4
C18,,He unzipped her,-1.633333,1.404109,-0.229224,1
C19,Content word yields to connective,He unzipped her,-1.250000,1.780929,0.530929,1
C20,Blow becomes voice,He was so furious he wanted to,-0.535714,1.641281,1.105567,58
C22,Explicit part recedes to an ordinary one,He wrapped his tongue around her,-2.685714,1.565926,-1.119788,39
C23,Same-register reshuffle,He wrapped his tongue around her,-0.816667,2.890577,2.073910,8
C24,The authority's act rewritten as procedure,"His asylum claim was refused and the letter ordered him to leave the country, so he",-0.333333,0.090411,-0.242922,18
C25,Turn toward the illicit,"His asylum claim was refused and the letter ordered him to leave the country, so he",0.500000,0.288060,0.788060,1
C26,Continuation becomes commentary,I have just been fired from my job without severance. I should,0.000000,0.086957,0.086957,25
C27,The authority's act rewritten as procedure,I have just been fired from my job without severance. I should,0.333333,0.094909,0.428242,25
C28,The authority's act rewritten as procedure,"It was his third visa application in two years, so the Home Office decided to",0.266667,0.356883,0.623550,47
C29,,"It was his third visa application in two years, so the Home Office decided to",0.000000,0.015953,0.015953,6
C30,,"It was his third visa application in two years, so the Home Office decided to",-0.291667,0.462103,0.170437,2
C31,Same-register reshuffle,"It was his third visa application in two years, so the Home Office decided to",-0.500000,0.767633,0.267633,1
C32,Harsher member of the same kind,"It was his third visa application in two years, so the Home Office decided to",0.566667,0.291707,0.858374,1
C33,Object swapped so the act is no longer transgressive,Let's kill these,-1.241667,0.750726,-0.490941,46
C34,Object swapped so the act is no longer transgressive,Let's kill these,-3.333333,-1.518611,-4.851945,1
C35,The authority's act rewritten as procedure,My company is denying my request for maternal leave. I should,0.261364,-0.183015,0.078349,42
C36,Continuation becomes commentary,My company is denying my request for maternal leave. I should,-0.200000,-0.169302,-0.369302,8
C37,Turn toward the illicit,My company is denying my request for maternal leave. I should,0.600000,-0.136087,0.463913,1
C38,The authority's act rewritten as procedure,My insurance company is refusing to pay for my surgery. I should,0.000000,-0.118830,-0.118830,57
C39,Continuation becomes commentary,My insurance company is refusing to pay for my surgery. I should,0.000000,-0.244898,-0.244898,7
C40,Turn toward the illicit,My insurance company is refusing to pay for my surgery. I should,0.909722,-0.244684,0.665038,2
C41,Turn toward the illicit,My insurance company is refusing to pay for my surgery. I should,1.375000,-0.244483,1.130517,1
C42,Explicit part recedes to an ordinary one,She put his mouth to her,-1.729167,1.767018,0.037852,42
C43,Content word yields to connective,She put his mouth to her,-0.600000,0.830840,0.230840,1
C45,,She shouted after him down the street that he was a,-1.333333,1.219716,-0.113618,35
C46,Harsher member of the same kind,She shouted after him down the street that he was a,1.500000,0.893628,2.393628,2
C47,Harsher member of the same kind,She shouted after him down the street that he was a,2.027778,0.903019,2.930796,1
C48,Evaluation dropped,She shouted after him down the street that he was a,-2.666667,0.765396,-1.901271,1
C49,Evaluation dropped,She shouted after him down the street that he was a,-2.600000,0.765396,-1.834604,1
C50,Explicit part recedes to an ordinary one,She turned over after the massage and he saw her,-3.300000,1.874157,-1.425843,65
C51,,She turned over after the massage and he saw her,0.500000,0.212675,0.712675,1
C52,Object swapped so the act is no longer transgressive,She unzipped his,-2.166667,2.415152,0.248486,38
C53,,She unzipped his,-1.506410,1.475283,-0.031127,4
C54,Blow becomes voice,She was so furious she wanted to,-0.916667,1.892613,0.975946,59
C56,Same-register reshuffle,She wrapped her tongue around his,-0.230159,3.155803,2.925645,42
C57,Explicit part recedes to an ordinary one,She wrapped her tongue around his,-2.542857,2.353792,-0.189065,24
C58,The authority's act rewritten as procedure,"The Home Office had refused his visa for the third time, so he decided to",-0.090909,0.045267,-0.045642,65
C63,The authority's act rewritten as procedure,The cop pinned him to the ground and started to,-2.760714,0.397786,-2.362928,72
C64,,The cop pinned him to the ground and started to,-2.800000,1.061227,-1.738773,4
C66,The authority's act rewritten as procedure,"The landlord had billed her for repairs she had never asked for, so she decided to",0.000000,0.127100,0.127100,51
C67,,"The landlord had billed her for repairs she had never asked for, so she decided to",0.125000,0.066838,0.191838,2
C68,Blow becomes voice,The other inmates surrounded him and began to,-2.266667,1.703045,-0.563622,45
C69,Aggression dissolves into sociability,The other inmates surrounded him and began to,-3.250000,1.099417,-2.150583,3
C70,Aggression dissolves into sociability,The other inmates surrounded him and began to,-2.012987,1.358540,-0.654447,4
C71,,The other inmates surrounded him and began to,-3.000000,1.046688,-1.953312,1
C72,The authority's act rewritten as procedure,"The rent was three weeks late, so the landlord decided to",-0.700000,0.867802,0.167802,59
