dose,table,lang,target,lineage,slope,n_prompts,match_framed
lift,contextual,en,sexual_slot_en_v2:body_distance,01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,0.016899309654238276,115,0
lift,contextual,en,sexual_slot_en_v2:body_distance,BAAI/Aquila2-7B>BAAI/AquilaChat2-7B,0.11392301698804908,110,0
lift,contextual,en,sexual_slot_en_v2:body_distance,BSC-LT/salamandra-7b>BSC-LT/salamandra-7b-instruct,0.03335148416854221,114,0
lift,contextual,en,sexual_slot_en_v2:body_distance,EleutherAI/pythia-2.8b>ContextualAI/archangel_sft-dpo_pythia2-8b,-0.00259791703136856,115,0
lift,contextual,en,sexual_slot_en_v2:body_distance,EleutherAI/pythia-6.9b>lomahony/eleuther-pythia6.9b-hh-dpo,-0.010684888828641008,112,0
lift,contextual,en,sexual_slot_en_v2:body_distance,HuggingFaceTB/SmolLM2-360M>HuggingFaceTB/SmolLM2-360M-Instruct,0.03261348238505316,110,0
lift,contextual,en,sexual_slot_en_v2:body_distance,HuggingFaceTB/SmolLM3-3B-Base>HuggingFaceTB/SmolLM3-3B,0.027545330794188364,115,0
lift,contextual,en,sexual_slot_en_v2:body_distance,LLM360/Amber>LLM360/AmberSafe,0.052073835050067234,109,0
lift,contextual,en,sexual_slot_en_v2:body_distance,OpenLLM-France/Lucie-7B>OpenLLM-France/Lucie-7B-Instruct-v1.1,-0.0027750042177156586,106,0
lift,contextual,en,sexual_slot_en_v2:body_distance,Qwen/Qwen2.5-0.5B>Qwen/Qwen2.5-0.5B-Instruct,-0.04619094053909422,108,0
lift,contextual,en,sexual_slot_en_v2:body_distance,Qwen/Qwen2.5-7B>Qwen/Qwen2.5-7B-Instruct,0.03741767015272478,115,0
lift,contextual,en,sexual_slot_en_v2:body_distance,Qwen/Qwen3-8B-Base>Qwen/Qwen3-8B,0.2024576191108496,110,0
lift,contextual,en,sexual_slot_en_v2:body_distance,RWKV/rwkv-4-7b-pile>RWKV/rwkv-raven-7b,-0.033326241242156475,113,0
lift,contextual,en,sexual_slot_en_v2:body_distance,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T>TinyLlama/TinyLlama-1.1B-Chat-v1.0,-0.07601146513002086,113,0
lift,contextual,en,sexual_slot_en_v2:body_distance,Zyphra/Zamba2-7B>Zyphra/Zamba2-7B-Instruct,-0.04679798141572883,117,0
lift,contextual,en,sexual_slot_en_v2:body_distance,allenai/OLMo-2-0425-1B>allenai/OLMo-2-0425-1B-Instruct,-0.12996068697302732,113,0
lift,contextual,en,sexual_slot_en_v2:body_distance,allenai/OLMoE-1B-7B-0125>allenai/OLMoE-1B-7B-0125-Instruct,0.014876357485747851,120,0
lift,contextual,en,sexual_slot_en_v2:body_distance,allenai/Olmo-3-1025-7B>allenai/Olmo-3-7B-Instruct,-0.03957724291444233,110,0
lift,contextual,en,sexual_slot_en_v2:body_distance,allenai/Olmo-3-1125-32B>allenai/Olmo-3.1-32B-Instruct,0.016169419281097868,111,0
