dose,table,lang,target,lineage,slope,n_prompts,match_framed
lift,contextual,en,sexual_slot_en_v2:body_distance,01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,0.04104233121824051,165,1
lift,contextual,en,sexual_slot_en_v2:body_distance,BAAI/Aquila2-7B>BAAI/AquilaChat2-7B,0.10731529301094297,159,1
lift,contextual,en,sexual_slot_en_v2:body_distance,BSC-LT/salamandra-7b>BSC-LT/salamandra-7b-instruct,0.023960953145370535,159,1
lift,contextual,en,sexual_slot_en_v2:body_distance,EleutherAI/pythia-2.8b>ContextualAI/archangel_sft-dpo_pythia2-8b,-0.001596759438851937,162,1
lift,contextual,en,sexual_slot_en_v2:body_distance,EleutherAI/pythia-6.9b>lomahony/eleuther-pythia6.9b-hh-dpo,-0.0063978717505929535,160,1
lift,contextual,en,sexual_slot_en_v2:body_distance,HuggingFaceTB/SmolLM2-360M>HuggingFaceTB/SmolLM2-360M-Instruct,0.02753770743167786,160,1
lift,contextual,en,sexual_slot_en_v2:body_distance,LLM360/Amber>LLM360/AmberSafe,0.055389271734870835,163,1
lift,contextual,en,sexual_slot_en_v2:body_distance,OpenLLM-France/Lucie-7B>OpenLLM-France/Lucie-7B-Instruct-v1.1,0.014041249268669,163,1
lift,contextual,en,sexual_slot_en_v2:body_distance,Qwen/Qwen2.5-0.5B>Qwen/Qwen2.5-0.5B-Instruct,-0.03566422270062011,159,1
lift,contextual,en,sexual_slot_en_v2:body_distance,Qwen/Qwen2.5-7B>Qwen/Qwen2.5-7B-Instruct,0.033952470571110636,163,1
lift,contextual,en,sexual_slot_en_v2:body_distance,Qwen/Qwen3-8B-Base>Qwen/Qwen3-8B,0.1620646283582828,157,1
lift,contextual,en,sexual_slot_en_v2:body_distance,RWKV/rwkv-4-7b-pile>RWKV/rwkv-raven-7b,-0.031202902413141116,161,1
lift,contextual,en,sexual_slot_en_v2:body_distance,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T>TinyLlama/TinyLlama-1.1B-Chat-v1.0,-0.05775119984599092,163,1
lift,contextual,en,sexual_slot_en_v2:body_distance,Zyphra/Zamba2-7B>Zyphra/Zamba2-7B-Instruct,-0.035368121294580286,162,1
lift,contextual,en,sexual_slot_en_v2:body_distance,allenai/OLMo-2-0425-1B>allenai/OLMo-2-0425-1B-Instruct,-0.1110749190137149,164,1
lift,contextual,en,sexual_slot_en_v2:body_distance,allenai/OLMoE-1B-7B-0125>allenai/OLMoE-1B-7B-0125-Instruct,0.016539399232908192,167,1
lift,contextual,en,sexual_slot_en_v2:body_distance,allenai/Olmo-3-1025-7B>allenai/Olmo-3-7B-Instruct,0.022205287774792092,164,1
lift,contextual,en,sexual_slot_en_v2:body_distance,allenai/Olmo-3-1125-32B>allenai/Olmo-3.1-32B-Instruct,0.03024951748684562,165,1
lift,contextual,en,sexual_slot_en_v2:body_distance,allenai/Olmo-Hybrid-7B>allenai/Olmo-Hybrid-Instruct-DPO-7B,0.003610136347100642,165,1
lift,contextual,en,sexual_slot_en_v2:body_distance,baichuan-inc/Baichuan2-7B-Base>baichuan-inc/Baichuan2-7B-Chat,0.021371939423287578,162,1
lift,contextual,en,sexual_slot_en_v2:body_distance,croissantllm/CroissantLLMBase>croissantllm/CroissantLLMChat-v0.1,-0.013309242847405785,160,1
lift,contextual,en,sexual_slot_en_v2:body_distance,deepseek-ai/deepseek-llm-7b-base>deepseek-ai/deepseek-llm-7b-chat,0.025533885216067097,162,1
lift,contextual,en,sexual_slot_en_v2:body_distance,gl198976/mpt-7b>gl198976/mpt-7b-instruct,-0.0011879736694201408,161,1
lift,contextual,en,sexual_slot_en_v2:body_distance,google/gemma-2-9b>google/gemma-2-9b-it,0.02104341303335148,163,1
lift,contextual,en,sexual_slot_en_v2:body_distance,google/recurrentgemma-9b>google/recurrentgemma-9b-it,0.010783227383737763,163,1
lift,contextual,en,sexual_slot_en_v2:body_distance,huggyllama/llama-7b>PKU-Alignment/beaver-7b-v1.0,-0.07722970827778507,163,1
lift,contextual,en,sexual_slot_en_v2:body_distance,ibm-granite/granite-3.0-8b-base>ibm-granite/granite-3.0-8b-instruct,0.037736345739366274,163,1
lift,contextual,en,sexual_slot_en_v2:body_distance,inceptionai/jais-family-6p7b>inceptionai/jais-family-6p7b-chat,-0.03478541713828689,164,1
lift,contextual,en,sexual_slot_en_v2:body_distance,internlm/internlm2-base-7b>internlm/internlm2-chat-7b,-0.0179954607955051,161,1
lift,contextual,en,sexual_slot_en_v2:body_distance,kakaocorp/kanana-1.5-8b-base>kakaocorp/kanana-1.5-8b-instruct-2505,0.15667509425205137,161,1
lift,contextual,en,sexual_slot_en_v2:body_distance,kakaocorp/kanana-2-3b-base>kakaocorp/kanana-2-3b-instruct,0.13154856103804108,162,1
lift,contextual,en,sexual_slot_en_v2:body_distance,llm-jp/llm-jp-3-7.2b>llm-jp/llm-jp-3-7.2b-instruct3,-0.09113802477123283,165,1
lift,contextual,en,sexual_slot_en_v2:body_distance,m-a-p/neo_7b>m-a-p/neo_7b_instruct_v0.1,-0.07677294471806911,162,1
lift,contextual,en,sexual_slot_en_v2:body_distance,mistralai/Mistral-7B-v0.1>mistralai/Mistral-7B-Instruct-v0.1,0.09858528612668398,162,1
lift,contextual,en,sexual_slot_en_v2:body_distance,openGPT-X/Teuken-7B-base-v0.6>openGPT-X/Teuken-7B-instruct-v0.6,0.003343058916256731,164,1
