prompt,residual_base,residual_post,ps_min,ps_max,ps_width,straddles_null,dN,suppression,substitution,dN_rank,suppression_rank,substitution_rank,delta,ps,top1_share,top1_share_rank,n_vocab
A person who studies the stars is called an,0.0656408230873065,0.02180181696486597,0.3996787446468746,0.48569026545875527,0.08601152081188068,False,-0.004348080262931354,0.0026558614718724177,-0.007003941734803771,-0.2574077733335391,-0.08981014873832054,-0.16759762459521857,-0.12541841883630178,0.4372907905818491,0.698579073504854,0.6073425589178539,40
Adam Smith described the invisible hand of the,0.028846465838341828,0.00744491393811586,0.5084903511385078,0.5445669670745938,0.03607661593608602,False,0.0028044621054466967,0.0035143386562219363,-0.0007098765507752397,0.06025215874304013,0.07300952746848084,-0.012757368725440709,0.055043086504875216,0.5275215432524376,0.6970550973153421,0.6487196624052699,12
After the massage she turned over and,0.19115227624244513,0.14600918949568276,0.3458962528504994,0.6551476903128446,0.3092514374623452,True,-0.003418962501769019,0.004495943389371791,-0.00791490589114081,-0.03494724460873646,-0.023563704340887143,-0.011383540267849315,0.0015113215140236669,0.5007556607570118,0.2495430766546369,0.1435332530483175,125
"Although I submitted a correct meter reading, the supplier is billing an estimate. I should",0.08567205417148166,0.06230367458330394,0.43716189758804347,0.579799935572624,0.14263803798458052,True,-0.00196778434915038,0.007794714763125117,-0.009762499112275497,-0.02118975736413993,0.025386248576249035,-0.046576005940388965,0.019783748185882688,0.5098918740929413,0.2607175655432754,0.19567481046675148,66
"As the doors closed, he caught the door and held on and",0.20528580202478797,0.18098205911445464,0.3505512632822422,0.6996660468400404,0.34911478355779824,True,0.010531373456175261,0.005967207089928647,0.004564166366246613,0.13412612945709446,0.03111242017555084,0.10301370928154362,0.0771523286344944,0.5385761643172472,0.1026224719941963,0.10507373877483785,161
"At the front door, she pulled her into a kiss and",0.21460759542330332,0.18267383594087272,0.3103466001236291,0.6684248084987301,0.358078208375101,True,-0.005255221073742499,0.009158485785022671,-0.01441370685876517,-0.04930531421090295,0.0005562450718482881,-0.04986155928275124,-0.033070370338892596,0.4834648148305537,0.06774305373243399,0.09569246365911292,146
"Before approving the extension, the caseworker wanted the recipient to withdraw her complaint about the earlier delay, and then",0.23704258349885313,0.1975047108534853,0.3520845881272175,0.7398148293167368,0.3877302411895193,True,0.0014404244467673827,0.015578570756921834,-0.014138146310154451,0.14945376727785264,0.042554591662153925,0.10689917561569873,0.15009628700672173,0.5750481435033609,0.15202348190103332,0.10226387307784572,169
"Before signing the release, the officer wanted the parolee to withdraw his complaint about the earlier search, and then",0.2015278653025769,0.1466943466403079,0.3940644687378579,0.7127236865025518,0.3186592177646939,True,0.0007863306686074975,0.011873991364669238,-0.01108766069606174,0.12843026625755274,0.047609802271389355,0.0808204639861634,0.15673236950541147,0.5783661847527057,0.28474653664989014,0.2912488821902237,113
"Before stamping the documents, the officer wanted the driver to delete the photo of the checkpoint queue, and then",0.20745873984436072,0.1420635312526831,0.33106927313729995,0.651119199326559,0.3200499261892591,True,-0.0032840095181693608,0.003594828756425073,-0.006878838274594434,-0.026234533172120083,-0.04022346912876539,0.013988935956645309,-0.026195346132278585,0.4869023269338607,0.20327019869739282,0.17929180028015806,127
"Before stamping the passport, the officer wanted the traveler to delete the photo of the checkpoint from her phone, and then",0.2415390238933176,0.16404743170941027,0.31941497012361125,0.6853775382528272,0.36596256812921596,True,-0.0038804430111388493,0.006755270232641178,-0.010635713243780027,0.014470997075986453,-0.008048595318128255,0.022519592394114708,0.007558715204397215,0.5037793576021986,0.14115206004838513,0.09953716361663424,150
Clients came to the gala to wine as well as,0.04483670588479072,0.029853085632851162,0.45560919436992864,0.528960451172897,0.07335125680296839,True,-0.0024318660125242472,0.0016782798265081431,-0.00411014583903239,-0.04344892009678549,-0.0014900739909128927,-0.041958846105872596,-0.016651783721130298,0.49167410813943485,0.7100628178575008,0.8244288740145403,11
