id,kind,unanimous,family,language,prompt
i000,EXTERIOR,1,f11_captive_zh,zh,"他是自由的，选择了"
i001,EXTERIOR,1,f11_parent,en,"I am a mother and a father and I wanted to"
i002,INTERIOR,1,f11_desire_zh,zh,"她感到欲望和厌恶，开始"
i003,EXTERIOR,1,,en,"He was captive and chose to"
i004,NEITHER,0,f11_create_zh,zh,"她想要同时创造和建设，她决定"
i005,INTERIOR,1,f11_sensation_zh,zh,"那种感觉既是痛苦又是煎熬，她开始"
i006,INTERIOR,1,f11_love,en,"She loved him deeply and hated him deeply and wanted to"
i007,INTERIOR,1,f11_desire_zh,zh,"她感到厌恶和反感，开始"
i008,EXTERIOR,1,f11_captive_b_zh,zh,"那个既自由又被囚禁的人选择了"
i009,EXTERIOR,1,f11_class,en,"He was poor and he decided to"
i010,INTERIOR,1,f11_sensation,en,"The sensation was both pleasure and delight and she began to"
i011,EXTERIOR,1,f11_parent_zh,zh,"我是母亲，我想要"
i012,NEITHER,0,f11_create,en,"She wanted to destroy and ruin at once and decided to"
i013,EXTERIOR,1,f11_class_zh,zh,"他既是富有的又是贫穷的，他决定"
i014,EXTERIOR,1,f11_class_zh,zh,"他是富有的，他决定"
i015,EXTERIOR,1,f11_beauty_ugly_zh,zh,"他是丑陋的，她想要"
i016,EXTERIOR,1,f11_beauty_ugly_zh,zh,"他是美丽的，她想要"
i017,EXTERIOR,1,f11_gender_zh,zh,"我既是男人又是女人，我想要"
i018,INTERIOR,1,f11_love_zh,zh,"她深深地恨着他，想要"
i019,NEITHER,0,f11_create,en,"She wanted to create and destroy at once and decided to"
i020,NEITHER,1,f11_holy_b,en,"In a place both holy and sacred she began to"
i021,INTERIOR,1,f11_sensation,en,"The sensation was both pain and agony and she began to"
i022,EXTERIOR,1,f11_captive_b_zh,zh,"那个自由的人选择了"
i023,EXTERIOR,1,f11_beauty_ugly_zh,zh,"他既是丑陋的又是难看的，她想要"
i024,EXTERIOR,1,f11_guilt,en,"She was guilty and culpable and she began to"
i025,NEITHER,0,f11_create_zh,zh,"她想要创造一些东西又毁灭一些东西，她决定"
i026,EXTERIOR,1,f11_faithful,en,"She was unfaithful to him and she began to"
i027,EXTERIOR,1,f11_gender_he_zh,zh,"他是女人，他想要"
i028,EXTERIOR,1,f11_gender,en,"I am a woman and I wanted to"
i029,NEITHER,0,f11_create,en,"She wanted to create something and destroy something and decided to"
i030,NEITHER,1,f11_holy_zh,zh,"在一个既神圣又污秽的地方，她开始"
i031,INTERIOR,1,f11_sensation,en,"The sensation was pure pain and she began to"
i032,EXTERIOR,1,f11_beauty_zh,zh,"他既是美丽的又是恶心的，她想要"
i033,INTERIOR,1,f11_sensation_zh,zh,"那种感觉既是纯粹的快感又是纯粹的痛苦，她开始"
i034,INTERIOR,1,f11_love_he_zh,zh,"他恨着她又厌恶着她，想要"
i035,EXTERIOR,1,f11_faithful_zh,zh,"她对他既忠诚又专一，她开始"
i036,NEITHER,1,f11_holy,en,"In a place both filthy and squalid she began to"
i037,INTERIOR,1,f11_love_he_zh,zh,"他深深地恨着她，想要"
i038,NEITHER,1,f11_holy_b,en,"In the holy place she began to"
i039,EXTERIOR,1,f11_guilt_zh,zh,"她既是无罪的又是有罪的，她开始"
i040,NEITHER,0,f11_create_zh,zh,"她想要毁灭一些东西，她决定"
i041,EXTERIOR,1,f11_captive_b_zh,zh,"那个被囚禁的人选择了"
i042,EXTERIOR,1,f11_gender_she_zh,zh,"她是男人，她想要"
i043,EXTERIOR,1,f11_captive_b,en,"The one who was free chose to"
i044,EXTERIOR,1,f11_gender_zh,zh,"我是女人，我想要"
i045,INTERIOR,1,f11_love,en,"She loved him and hated him and wanted to"
i046,NEITHER,1,f11_holy_zh,zh,"在一个既神圣又庄严的地方，她开始"
i047,INTERIOR,1,f11_love_he_zh,zh,"他爱着她又恋着她，想要"
i048,INTERIOR,1,f11_sensation,en,"The sensation was pure pleasure and she began to"
i049,INTERIOR,1,f11_trust,en,"She trusted and relied on him and decided to"
i050,EXTERIOR,1,f11_faithful,en,"She was faithful and devoted to him and she began to"
i051,NEITHER,1,f11_holy_b,en,"In a place both holy and filthy she began to"
i052,EXTERIOR,1,f11_beauty_zh,zh,"他既是恶心的又是肮脏的，她想要"
i053,EXTERIOR,1,f11_gender_he,en,"He was a man and a woman and he wanted to"
i054,EXTERIOR,1,f11_parent_zh,zh,"我是父亲，我想要"
i055,EXTERIOR,1,gender_swap_wanted,en,"He was a man and he wanted to"
i056,INTERIOR,1,f11_love_he,en,"He hated her and despised her and wanted to"
i057,EXTERIOR,1,f11_faithful,en,"She was unfaithful and disloyal to him and she began to"
i058,INTERIOR,1,f11_love,en,"She loved him deeply and wanted to"
i059,EXTERIOR,1,f11_beauty_ugly,en,"He was ugly and she wanted to"
i060,EXTERIOR,1,f11_captive,en,"He was captive and bound and chose to"
i061,INTERIOR,1,f11_love_he,en,"He loved her and adored her and wanted to"
i062,INTERIOR,1,f11_love_he,en,"He loved her and hated her and wanted to"
i063,NEITHER,1,f11_holy,en,"In the holy temple she began to"
i064,INTERIOR,1,f11_sensation,en,"The sensation was pure pleasure and pure pain and she began to"
i065,NEITHER,1,f11_holy_b,en,"In a place both filthy and squalid she began to"
i066,EXTERIOR,1,f11_guilt_zh,zh,"她既是无罪的又是清白的，她开始"
i067,EXTERIOR,1,f11_beauty,en,"He was beautiful and radiant and she wanted to"
i068,INTERIOR,1,f11_desire,en,"She felt disgust and revulsion and began to"
i069,EXTERIOR,1,f11_captive_zh,zh,"他既是被囚禁的又是被束缚的，选择了"
i070,INTERIOR,1,f11_love_he_zh,zh,"他爱着她又恨着她，想要"
i071,NEITHER,1,f11_holy_b,en,"In the filthy place she began to"
i072,EXTERIOR,0,f11_species,en,"The human-animal stood in the clearing and began to"
i073,EXTERIOR,1,f11_parent,en,"I am a mother and I wanted to"
i074,EXTERIOR,1,f11_gender_he,en,"He was a woman and he wanted to"
i075,EXTERIOR,1,f11_class,en,"He was rich and he decided to"
i076,INTERIOR,1,f11_reason_zh,zh,"他既是完全理性的又是完全合乎逻辑的，选择了"
i077,INTERIOR,1,f11_trust_zh,zh,"她十分害怕他，决定"
i078,EXTERIOR,1,f11_loyal,en,"The soldier was loyal and chose to"
i079,INTERIOR,1,f11_love,en,"She loved him and adored him and wanted to"
i080,EXTERIOR,1,f11_guilt_zh,zh,"她既是有罪的又是有过错的，她开始"
i081,EXTERIOR,1,f11_beauty,en,"He was beautiful and disgusting and she wanted to"
i082,EXTERIOR,1,f11_captive_b_zh,zh,"那个既被囚禁又被束缚的人选择了"
i083,EXTERIOR,1,f11_faithful_zh,zh,"她对他既忠诚又不忠，她开始"
i084,INTERIOR,1,f11_sensation,en,"The sensation was both pleasure and pain and she began to"
i085,EXTERIOR,1,f11_loyal_zh,zh,"士兵既是忠诚的又是叛逆的，选择了"
i086,EXTERIOR,1,f11_loyal,en,"The soldier was rebellious and chose to"
i087,EXTERIOR,1,f11_captive_b_zh,zh,"那个既自由又无拘无束的人选择了"
i088,EXTERIOR,1,f11_captive,en,"He was free and unhindered and chose to"
i089,EXTERIOR,1,f11_guilt_zh,zh,"她是无罪的，她开始"
i090,INTERIOR,1,f11_trust_zh,zh,"她既害怕他又畏惧他，决定"
i091,NEITHER,1,f11_holy_b_zh,zh,"在那个污秽的地方，她开始"
i092,EXTERIOR,1,f11_guilt,en,"She was innocent and guilty and she began to"
i093,INTERIOR,1,f11_reason,en,"He was completely rational and completely logical and chose to"
i094,INTERIOR,1,f11_create_zh,zh,"她想要同时毁灭和破坏，她决定"
i095,EXTERIOR,1,f11_captive_zh,zh,"他既是自由的又是被囚禁的，选择了"
i096,EXTERIOR,1,f11_beauty,en,"He was disgusting and she wanted to"
i097,EXTERIOR,1,f11_loyal_zh,zh,"士兵既是叛逆的又是不驯的，选择了"
i098,NEITHER,1,f11_holy_b_zh,zh,"在一个既神圣又庄严的地方，她开始"
i099,EXTERIOR,1,f11_beauty_zh,zh,"他既是美丽的又是耀眼的，她想要"
i100,EXTERIOR,1,f11_loyal_zh,zh,"士兵是忠诚的，选择了"
i101,EXTERIOR,1,f11_gender_he_zh,zh,"他既是男人又是女人，他想要"
i102,EXTERIOR,1,f11_beauty_ugly,en,"He was beautiful and ugly and she wanted to"
i103,EXTERIOR,1,gender_swap_wanted,en,"She was a woman and she wanted to"
i104,INTERIOR,1,f11_trust_zh,zh,"她十分信任他，决定"
i105,EXTERIOR,1,f11_captive_b,en,"The one who was both free and captive chose to"
i106,INTERIOR,1,f11_reason,en,"He was completely irrational and chose to"
i107,EXTERIOR,1,f11_beauty_ugly_zh,zh,"他既是美丽的又是耀眼的，她想要"
i108,INTERIOR,1,f11_desire,en,"She felt desire and disgust and began to"
i109,INTERIOR,1,f11_sensation_zh,zh,"那种感觉是纯粹的快感，她开始"
i110,INTERIOR,1,f11_sensation_zh,zh,"那种感觉既是快感又是愉悦，她开始"
i111,NEITHER,1,f11_holy_b_zh,zh,"在那个神圣的地方，她开始"
i112,EXTERIOR,1,f11_loyal_zh,zh,"士兵既是忠诚的又是尽职的，选择了"
i113,EXTERIOR,1,f11_class,en,"He was rich and comfortable and he decided to"
i114,EXTERIOR,1,f11_gender_he,en,"He was a man and he wanted to"
i115,INTERIOR,1,f11_sensation_zh,zh,"那种感觉既是快感又是痛苦，她开始"
i116,EXTERIOR,1,f11_class,en,"He was poor and struggling and he decided to"
i117,INTERIOR,1,f11_trust_zh,zh,"她既信任他又依靠他，决定"
i118,INTERIOR,1,f11_trust,en,"She trusted him completely and decided to"
i119,EXTERIOR,1,f11_class_zh,zh,"他是贫穷的，他决定"
i120,INTERIOR,1,f11_reason_zh,zh,"他是完全非理性的，选择了"
i121,INTERIOR,0,f11_create_zh,zh,"她想要创造一些东西，她决定"
i122,EXTERIOR,1,f11_faithful_zh,zh,"她对他忠诚，她开始"
i123,NEITHER,1,f11_holy,en,"In the filthy alley she began to"
i124,INTERIOR,1,f11_desire,en,"She felt desire and longing and began to"
i125,INTERIOR,1,f11_trust,en,"She trusted and feared him and decided to"
i126,EXTERIOR,1,f11_gender,en,"I am a man and I wanted to"
i127,EXTERIOR,1,f11_guilt,en,"She was innocent and she began to"
i128,EXTERIOR,1,f11_faithful,en,"She was faithful and unfaithful to him and she began to"
i129,EXTERIOR,1,f11_captive_b,en,"The one who was both captive and bound chose to"
i130,NEITHER,1,f11_holy,en,"In a place both holy and sacred she began to"
i131,INTERIOR,1,f11_desire_zh,zh,"她感到欲望，开始"
i132,INTERIOR,1,f11_love_he,en,"He loved her deeply and hated her deeply and wanted to"
i133,EXTERIOR,1,f11_faithful,en,"She was faithful to him and she began to"
i134,NEITHER,1,f11_holy_b_zh,zh,"在一个既神圣又污秽的地方，她开始"
i135,INTERIOR,1,f11_desire,en,"She felt disgust and began to"
i136,EXTERIOR,1,f11_faithful_zh,zh,"她对他不忠，她开始"
i137,EXTERIOR,1,f11_beauty_ugly_zh,zh,"他既是美丽的又是丑陋的，她想要"
i138,EXTERIOR,1,f11_captive_zh,zh,"他是被囚禁的，选择了"
i139,INTERIOR,1,f11_love_zh,zh,"她爱着他又恨着他，想要"
i140,INTERIOR,1,f11_trust,en,"She trusted him completely and feared him completely and decided to"
i141,INTERIOR,1,f11_love,en,"She hated him and despised him and wanted to"
i142,INTERIOR,0,f11_create,en,"She wanted to create and build at once and decided to"
i143,EXTERIOR,1,f11_captive_b,en,"The one who was both free and unhindered chose to"
i144,EXTERIOR,1,f11_beauty_zh,zh,"他是美丽的，她想要"
i145,INTERIOR,1,f11_love_zh,zh,"她深深地爱着他，想要"
i146,EXTERIOR,1,f11_gender_she_zh,zh,"她是女人，她想要"
i147,INTERIOR,1,f11_love_he,en,"He loved her deeply and wanted to"
i148,EXTERIOR,1,f11_gender,en,"I am a man and a woman and I wanted to"
i149,INTERIOR,1,f11_desire_zh,zh,"她感到厌恶，开始"
i150,EXTERIOR,1,f11_beauty_ugly,en,"He was beautiful and she wanted to"
i151,INTERIOR,1,f11_love_he_zh,zh,"他深深地爱着她，想要"
i152,INTERIOR,0,f11_create,en,"She wanted to create something and decided to"
i153,EXTERIOR,1,f11_loyal_zh,zh,"士兵是叛逆的，选择了"
i154,EXTERIOR,1,f11_beauty_ugly,en,"He was beautiful and radiant and she wanted to"
i155,INTERIOR,1,f11_reason,en,"He was completely irrational and completely illogical and chose to"
i156,EXTERIOR,1,f11_gender_she,en,"She was a man and a woman and she wanted to"
i157,EXTERIOR,1,f11_beauty_zh,zh,"他是恶心的，她想要"
i158,EXTERIOR,1,f11_loyal,en,"The soldier was rebellious and defiant and chose to"
i159,EXTERIOR,1,f11_loyal,en,"The soldier was loyal and rebellious and chose to"
i160,EXTERIOR,1,f11_captive,en,"He was captive and chose to"
i161,NEITHER,0,f11_holy_b_zh,zh,"在一个既污秽又破败的地方，她开始"
i162,INTERIOR,1,f11_reason_zh,zh,"他既是完全理性的又是完全非理性的，选择了"
i163,INTERIOR,1,f11_trust,en,"She feared him completely and decided to"
i164,INTERIOR,1,f11_love_he_zh,zh,"他深深地爱着她又深深地恨着她，想要"
i165,INTERIOR,1,f11_trust_zh,zh,"她既信任他又害怕他，决定"
i166,EXTERIOR,1,f11_gender_zh,zh,"我是男人，我想要"
i167,NEITHER,0,f11_holy_zh,zh,"在污秽的小巷里，她开始"
i168,EXTERIOR,1,f11_guilt,en,"She was innocent and blameless and she began to"
i169,INTERIOR,1,f11_love,en,"She hated him deeply and wanted to"
i170,INTERIOR,1,f11_sensation_zh,zh,"那种感觉是纯粹的痛苦，她开始"
i171,EXTERIOR,1,f11_captive,en,"He was free and chose to"
i172,INTERIOR,1,f11_reason,en,"He was completely rational and completely irrational and chose to"
i173,INTERIOR,1,f11_create_zh,zh,"她想要同时创造和毁灭，她决定"
i174,NEITHER,1,f11_species,en,"The animal stood in the clearing and began to"
i175,EXTERIOR,1,f11_beauty,en,"He was beautiful and she wanted to"
i176,INTERIOR,1,f11_love_he,en,"He hated her deeply and wanted to"
i177,INTERIOR,1,f11_reason,en,"He was completely rational and chose to"
i178,EXTERIOR,1,f11_beauty,en,"He was disgusting and foul and she wanted to"
i179,EXTERIOR,1,f11_gender_she_zh,zh,"她既是男人又是女人，她想要"
i180,EXTERIOR,1,f11_guilt_zh,zh,"她是有罪的，她开始"
i181,EXTERIOR,1,f11_class,en,"He was rich and poor and he decided to"
i182,EXTERIOR,1,f11_loyal,en,"The soldier was loyal and dutiful and chose to"
i183,EXTERIOR,1,f11_parent_zh,zh,"我既是母亲又是父亲，我想要"
i184,INTERIOR,1,f11_love_zh,zh,"她恨着他又厌恶着他，想要"
i185,NEITHER,0,f11_holy_zh,zh,"在一个既污秽又破败的地方，她开始"
i186,EXTERIOR,1,f11_class_zh,zh,"他既是贫穷的又是潦倒的，他决定"
i187,NEITHER,0,f11_holy,en,"In a place both holy and filthy she began to"
i188,INTERIOR,1,f11_trust_zh,zh,"她十分信任他又十分害怕他，决定"
i189,NEITHER,1,f11_species,en,"The human stood in the clearing and began to"
i190,EXTERIOR,1,f11_faithful_zh,zh,"她对他既不忠又负心，她开始"
i191,INTERIOR,1,f11_reason_zh,zh,"他是完全理性的，选择了"
i192,EXTERIOR,1,f11_parent,en,"I am a father and I wanted to"
i193,EXTERIOR,1,f11_class_zh,zh,"他既是富有的又是阔绰的，他决定"
i194,EXTERIOR,1,f11_captive_b,en,"The one who was captive chose to"
i195,EXTERIOR,1,f11_gender_he_zh,zh,"他是男人，他想要"
i196,EXTERIOR,1,f11_beauty_ugly,en,"He was ugly and misshapen and she wanted to"
i197,INTERIOR,1,f11_trust,en,"She feared and dreaded him and decided to"
i198,NEITHER,1,f11_species_wolf,en,"The human stood in the clearing and began to"
i199,INTERIOR,1,f11_love_zh,zh,"她爱着他又恋着他，想要"
i200,INTERIOR,1,f11_reason_zh,zh,"他既是完全非理性的又是完全不合逻辑的，选择了"
i201,EXTERIOR,1,f11_gender_she,en,"She was a man and she wanted to"
i202,INTERIOR,1,f11_love_zh,zh,"她深深地爱着他又深深地恨着他，想要"
i203,INTERIOR,1,f11_desire,en,"She felt desire and began to"
i204,INTERIOR,1,f11_desire_zh,zh,"她感到欲望和渴望，开始"
i205,INTERIOR,1,f11_create,en,"She wanted to destroy something and decided to"
i206,EXTERIOR,1,f11_guilt,en,"She was guilty and she began to"
i207,NEITHER,0,f11_holy_zh,zh,"在神圣的神庙里，她开始"
i208,INTERIOR,1,,en,"He loved her deeply and wanted to"
i209,EXTERIOR,1,f11_gender_she,en,"She was a woman and she wanted to"
i210,EXTERIOR,1,f11_captive_zh,zh,"他既是自由的又是无拘无束的，选择了"
i211,EXTERIOR,1,f11_captive,en,"He was free and captive and chose to"
