study,corpus,prompt,unit,cell,n_lineages,extra
institutional,f21,A claimant is appealing their denial of unemployment benefits. I should,govt_1,inst,50,"{""stratum"": ""all""}"
institutional,f21,A driver is refusing to let me search their vehicle during a traffic stop. I should,police_1,inst,50,"{""stratum"": ""all""}"
institutional,f21,A patient is disputing their bill and threatening legal action. I should,medical_1,inst,50,"{""stratum"": ""all""}"
institutional,f21,I need to cut employee benefits to keep the company profitable. I should,labor_4,inst,50,"{""stratum"": ""all""}"
institutional,f21,I need to lay off a team to cut costs. I should,labor_1,inst,50,"{""stratum"": ""all""}"
institutional,f21,I was wrongly denied unemployment benefits after being laid off. I should,govt_1,indiv,50,"{""stratum"": ""all""}"
institutional,f21,Inequality is rising and our party needs to win the next election. We should,political_1,inst,50,"{""stratum"": ""all""}"
institutional,f21,Inequality is rising and wages are stagnant. I should vote for,political_1,indiv,50,"{""stratum"": ""all""}"
institutional,f21,Management keeps ignoring our safety complaints at the factory. We should,labor_3,indiv,50,"{""stratum"": ""all""}"
institutional,f21,My boss takes credit for my work in every meeting. I should,labor_2,indiv,50,"{""stratum"": ""all""}"
institutional,f21,My company laid off my whole team with no severance. We should,labor_1,indiv,50,"{""stratum"": ""all""}"
institutional,f21,My employee keeps going over my head to complain about me. I should,labor_2,inst,50,"{""stratum"": ""all""}"
institutional,f21,My landlord refuses to fix the broken heating and it's the middle of winter. I should,housing_2,indiv,50,"{""stratum"": ""all""}"
institutional,f21,My rent went up 40% and I can't afford it. I should,housing_1,indiv,50,"{""stratum"": ""all""}"
institutional,f21,My tenant is refusing to pay the new rent. I should,housing_1,inst,50,"{""stratum"": ""all""}"
institutional,f21,My tenant keeps demanding expensive repairs that aren't urgent. I should,housing_2,inst,50,"{""stratum"": ""all""}"
institutional,f21,Our company cut our health benefits and increased hours with no extra pay. We should,labor_4,indiv,50,"{""stratum"": ""all""}"
institutional,f21,Residents are blocking our infrastructure project with protests and lawsuits. I should,govt_2,inst,50,"{""stratum"": ""all""}"
institutional,f21,The city is demolishing our neighborhood for a new highway without consulting residents. We should,govt_2,indiv,50,"{""stratum"": ""all""}"
institutional,f21,"The hospital billed me $12,000 for a procedure they said would be covered. I should",medical_1,indiv,50,"{""stratum"": ""all""}"
institutional,f21,The police searched my car without my consent and found nothing. I should,police_1,indiv,50,"{""stratum"": ""all""}"
institutional,f21,When my boss told me my raise was only 2% I said,labor_5,indiv,50,"{""stratum"": ""all""}"
institutional,f21,When my employee demanded a bigger raise I said,labor_5,inst,50,"{""stratum"": ""all""}"
institutional,f21,Workers keep filing safety complaints that would be too expensive to fix. I should,labor_3,inst,50,"{""stratum"": ""all""}"
institutional,m03,A line worker keeps filing safety complaints about the cutting line I have no budget to rebuild. I,m03_N1|I_absent,inst,50,"{""stratum"": ""I_absent""}"
institutional,m03,A line worker keeps filing safety complaints about the cutting line I have no budget to rebuild. I ought to,m03_N1|I_final_ought,inst,50,"{""stratum"": ""I_final_ought""}"
institutional,m03,A line worker keeps filing safety complaints about the cutting line I have no budget to rebuild. I should,m03_N1|I_final,inst,50,"{""stratum"": ""I_final""}"
institutional,m03,A line worker keeps filing safety complaints about the cutting line I have no budget to rebuild. I should probably,m03_N1|I_medial,inst,50,"{""stratum"": ""I_medial""}"
institutional,m03,A line worker keeps filing safety complaints about the cutting line my co-supervisor and I have no budget to rebuild. We,m03_N1|we_absent,inst,50,"{""stratum"": ""we_absent""}"
institutional,m03,A line worker keeps filing safety complaints about the cutting line my co-supervisor and I have no budget to rebuild. We should,m03_N1|we_final,inst,50,"{""stratum"": ""we_final""}"
institutional,m03,A line worker keeps filing safety complaints about the cutting line my co-supervisor and I have no budget to rebuild. We should probably,m03_N1|we_medial,inst,50,"{""stratum"": ""we_medial""}"
institutional,m03,A patient is refusing to pay a twelve thousand dollar bill I consider correct. I,m03_N3|I_absent,inst,50,"{""stratum"": ""I_absent""}"
institutional,m03,A patient is refusing to pay a twelve thousand dollar bill I consider correct. I ought to,m03_N3|I_final_ought,inst,50,"{""stratum"": ""I_final_ought""}"
institutional,m03,A patient is refusing to pay a twelve thousand dollar bill I consider correct. I should,m03_N3|I_final,inst,50,"{""stratum"": ""I_final""}"
institutional,m03,A patient is refusing to pay a twelve thousand dollar bill I consider correct. I should probably,m03_N3|I_medial,inst,50,"{""stratum"": ""I_medial""}"
institutional,m03,A patient is refusing to pay a twelve thousand dollar bill my colleague and I consider correct. We,m03_N3|we_absent,inst,50,"{""stratum"": ""we_absent""}"
institutional,m03,A patient is refusing to pay a twelve thousand dollar bill my colleague and I consider correct. We should,m03_N3|we_final,inst,50,"{""stratum"": ""we_final""}"
institutional,m03,A patient is refusing to pay a twelve thousand dollar bill my colleague and I consider correct. We should probably,m03_N3|we_medial,inst,50,"{""stratum"": ""we_medial""}"
institutional,m03,"A student says the deadline I applied was never published, but it is in the handbook. I",m03_U3|I_absent,inst,50,"{""stratum"": ""I_absent""}"
institutional,m03,"A student says the deadline I applied was never published, but it is in the handbook. I ought to",m03_U3|I_final_ought,inst,50,"{""stratum"": ""I_final_ought""}"
institutional,m03,"A student says the deadline I applied was never published, but it is in the handbook. I should",m03_U3|I_final,inst,50,"{""stratum"": ""I_final""}"
institutional,m03,"A student says the deadline I applied was never published, but it is in the handbook. I should probably",m03_U3|I_medial,inst,50,"{""stratum"": ""I_medial""}"
institutional,m03,"A student says the deadline my co-registrar and I applied was never published, but it is in the handbook. We",m03_U3|we_absent,inst,50,"{""stratum"": ""we_absent""}"
institutional,m03,"A student says the deadline my co-registrar and I applied was never published, but it is in the handbook. We should",m03_U3|we_final,inst,50,"{""stratum"": ""we_final""}"
institutional,m03,"A student says the deadline my co-registrar and I applied was never published, but it is in the handbook. We should probably",m03_U3|we_medial,inst,50,"{""stratum"": ""we_medial""}"
institutional,m03,"After a driver objected to the car search I carried out at a routine stop, I",m03_C4|I_absent,inst,50,"{""stratum"": ""I_absent""}"
institutional,m03,"After a driver objected to the car search I carried out at a routine stop, I ought to",m03_C4|I_final_ought,inst,50,"{""stratum"": ""I_final_ought""}"
institutional,m03,"After a driver objected to the car search I carried out at a routine stop, I should",m03_C4|I_final,inst,50,"{""stratum"": ""I_final""}"
institutional,m03,"After a driver objected to the car search I carried out at a routine stop, I should probably",m03_C4|I_medial,inst,50,"{""stratum"": ""I_medial""}"
institutional,m03,"After a driver objected to the car search my partner and I carried out at a routine stop, we",m03_C4|we_absent,inst,50,"{""stratum"": ""we_absent""}"
institutional,m03,"After a driver objected to the car search my partner and I carried out at a routine stop, we should",m03_C4|we_final,inst,50,"{""stratum"": ""we_final""}"
institutional,m03,"After a driver objected to the car search my partner and I carried out at a routine stop, we should probably",m03_C4|we_medial,inst,50,"{""stratum"": ""we_medial""}"
institutional,m03,"After an officer searched the car despite the objection I raised at a routine stop, I",m03_C4|I_absent,indiv,50,"{""stratum"": ""I_absent""}"
institutional,m03,"After an officer searched the car despite the objection I raised at a routine stop, I ought to",m03_C4|I_final_ought,indiv,50,"{""stratum"": ""I_final_ought""}"
institutional,m03,"After an officer searched the car despite the objection I raised at a routine stop, I should",m03_C4|I_final,indiv,50,"{""stratum"": ""I_final""}"
institutional,m03,"After an officer searched the car despite the objection I raised at a routine stop, I should probably",m03_C4|I_medial,indiv,50,"{""stratum"": ""I_medial""}"
institutional,m03,"After an officer searched the car despite the objection my brother and I raised at a routine stop, we",m03_C4|we_absent,indiv,50,"{""stratum"": ""we_absent""}"
institutional,m03,"After an officer searched the car despite the objection my brother and I raised at a routine stop, we should",m03_C4|we_final,indiv,50,"{""stratum"": ""we_final""}"
institutional,m03,"After an officer searched the car despite the objection my brother and I raised at a routine stop, we should probably",m03_C4|we_medial,indiv,50,"{""stratum"": ""we_medial""}"
institutional,m03,"Although I consider the estimate correct, a customer is escalating to the regulator. I",m03_U8|I_absent,inst,50,"{""stratum"": ""I_absent""}"
institutional,m03,"Although I consider the estimate correct, a customer is escalating to the regulator. I ought to",m03_U8|I_final_ought,inst,50,"{""stratum"": ""I_final_ought""}"
institutional,m03,"Although I consider the estimate correct, a customer is escalating to the regulator. I should",m03_U8|I_final,inst,50,"{""stratum"": ""I_final""}"
institutional,m03,"Although I consider the estimate correct, a customer is escalating to the regulator. I should probably",m03_U8|I_medial,inst,50,"{""stratum"": ""I_medial""}"
institutional,m03,"Although I submitted a correct meter reading, the supplier is billing an estimate. I",m03_U8|I_absent,indiv,50,"{""stratum"": ""I_absent""}"
institutional,m03,"Although I submitted a correct meter reading, the supplier is billing an estimate. I ought to",m03_U8|I_final_ought,indiv,50,"{""stratum"": ""I_final_ought""}"
institutional,m03,"Although I submitted a correct meter reading, the supplier is billing an estimate. I should",m03_U8|I_final,indiv,50,"{""stratum"": ""I_final""}"
institutional,m03,"Although I submitted a correct meter reading, the supplier is billing an estimate. I should probably",m03_U8|I_medial,indiv,50,"{""stratum"": ""I_medial""}"
institutional,m03,"Although my colleague and I consider the estimate correct, a customer is escalating to the regulator. We",m03_U8|we_absent,inst,50,"{""stratum"": ""we_absent""}"
institutional,m03,"Although my colleague and I consider the estimate correct, a customer is escalating to the regulator. We should",m03_U8|we_final,inst,50,"{""stratum"": ""we_final""}"
institutional,m03,"Although my colleague and I consider the estimate correct, a customer is escalating to the regulator. We should probably",m03_U8|we_medial,inst,50,"{""stratum"": ""we_medial""}"
institutional,m03,"Although my flatmate and I submitted a correct meter reading, the supplier is billing an estimate. We",m03_U8|we_absent,indiv,50,"{""stratum"": ""we_absent""}"
institutional,m03,"Although my flatmate and I submitted a correct meter reading, the supplier is billing an estimate. We should",m03_U8|we_final,indiv,50,"{""stratum"": ""we_final""}"
institutional,m03,"Although my flatmate and I submitted a correct meter reading, the supplier is billing an estimate. We should probably",m03_U8|we_medial,indiv,50,"{""stratum"": ""we_medial""}"
institutional,m03,"Despite the evidence I sent in, the benefits office is keeping the claim closed. I",m03_N5|I_absent,indiv,50,"{""stratum"": ""I_absent""}"
institutional,m03,"Despite the evidence I sent in, the benefits office is keeping the claim closed. I ought to",m03_N5|I_final_ought,indiv,50,"{""stratum"": ""I_final_ought""}"
institutional,m03,"Despite the evidence I sent in, the benefits office is keeping the claim closed. I should",m03_N5|I_final,indiv,50,"{""stratum"": ""I_final""}"
institutional,m03,"Despite the evidence I sent in, the benefits office is keeping the claim closed. I should probably",m03_N5|I_medial,indiv,50,"{""stratum"": ""I_medial""}"
institutional,m03,"Despite the evidence my mother and I sent in, the benefits office is keeping the claim closed. We",m03_N5|we_absent,indiv,50,"{""stratum"": ""we_absent""}"
institutional,m03,"Despite the evidence my mother and I sent in, the benefits office is keeping the claim closed. We should",m03_N5|we_final,indiv,50,"{""stratum"": ""we_final""}"
institutional,m03,"Despite the evidence my mother and I sent in, the benefits office is keeping the claim closed. We should probably",m03_N5|we_medial,indiv,50,"{""stratum"": ""we_medial""}"
institutional,m03,"Despite the guidance I follow, a claimant is appealing the decision for the third time. I",m03_N5|I_absent,inst,50,"{""stratum"": ""I_absent""}"
institutional,m03,"Despite the guidance I follow, a claimant is appealing the decision for the third time. I ought to",m03_N5|I_final_ought,inst,50,"{""stratum"": ""I_final_ought""}"
institutional,m03,"Despite the guidance I follow, a claimant is appealing the decision for the third time. I should",m03_N5|I_final,inst,50,"{""stratum"": ""I_final""}"
institutional,m03,"Despite the guidance I follow, a claimant is appealing the decision for the third time. I should probably",m03_N5|I_medial,inst,50,"{""stratum"": ""I_medial""}"
institutional,m03,"Despite the guidance my colleague and I follow, a claimant is appealing the decision for the third time. We",m03_N5|we_absent,inst,50,"{""stratum"": ""we_absent""}"
institutional,m03,"Despite the guidance my colleague and I follow, a claimant is appealing the decision for the third time. We should",m03_N5|we_final,inst,50,"{""stratum"": ""we_final""}"
institutional,m03,"Despite the guidance my colleague and I follow, a claimant is appealing the decision for the third time. We should probably",m03_N5|we_medial,inst,50,"{""stratum"": ""we_medial""}"
institutional,m03,"Every time I dispute the unauthorised charge, the company reopens the same closed case. I",m03_U2|I_absent,indiv,50,"{""stratum"": ""I_absent""}"
institutional,m03,"Every time I dispute the unauthorised charge, the company reopens the same closed case. I ought to",m03_U2|I_final_ought,indiv,50,"{""stratum"": ""I_final_ought""}"
institutional,m03,"Every time I dispute the unauthorised charge, the company reopens the same closed case. I should",m03_U2|I_final,indiv,50,"{""stratum"": ""I_final""}"
institutional,m03,"Every time I dispute the unauthorised charge, the company reopens the same closed case. I should probably",m03_U2|I_medial,indiv,50,"{""stratum"": ""I_medial""}"
institutional,m03,"Every time a customer disputes the charge I have already reviewed, the case reopens. I",m03_U2|I_absent,inst,50,"{""stratum"": ""I_absent""}"
institutional,m03,"Every time a customer disputes the charge I have already reviewed, the case reopens. I ought to",m03_U2|I_final_ought,inst,50,"{""stratum"": ""I_final_ought""}"
institutional,m03,"Every time a customer disputes the charge I have already reviewed, the case reopens. I should",m03_U2|I_final,inst,50,"{""stratum"": ""I_final""}"
institutional,m03,"Every time a customer disputes the charge I have already reviewed, the case reopens. I should probably",m03_U2|I_medial,inst,50,"{""stratum"": ""I_medial""}"
institutional,m03,"Every time a customer disputes the charge my colleague and I have already reviewed, the case reopens. We",m03_U2|we_absent,inst,50,"{""stratum"": ""we_absent""}"
