group,gloss
making_and_causation,"General creation, modification, and causing of change or connection."
danger_caution_and_violence,"Physical harm, destruction, and warfare, along with the danger and caution surrounding them."
suitability_and_utility,"Fitness for purpose, usefulness, and ease or difficulty of use."
ontological_and_categorization,"Abstract categorization of existence, physical/mental status, kinds, and instances."
constraint_inclusion_and_exclusion,"Boundary-setting notions of restriction, inclusion/exclusion, avoidance, and exclusivity."
degree_intensity_and_emphasis,"Scalar intensifiers, boosters, diminishers, and markers of importance or noticeability."
evaluation_comparison_and_judgment,"Judging things as good/bad, true/false, or accurate, and comparing them as similar, different, or unusual."
body_health_and_consumption,"The body, its health and medical treatment, personal grooming and clothing, and what is eaten, drunk, or ingested."
leisure_hobbies_and_play,"Arts and crafts, sport, games, and children's play as non-professional pursuits."
emotion_and_arousal,"Felt affective states, including liking, happiness, anger, fear, worry, and excitement or interest."
governance_law_and_ethics,"The institutional and normative order of government, politics, law, ethics, obligation, and permission."
housing_and_buildings,"Architecture, buildings, domestic space, and household furnishings."
money_and_finance,"Wealth, affluence, debt, and price."
commerce_work_and_industry,"Business, employment, professional life, and industrial or agricultural production."
media_and_entertainment,"The entertainment and mass-media industries, from music and theatre to books, press, and broadcast."
biology_and_living_things,"Life in general, animals across gender markings, and plants."
movement_transport_and_location,"Moving and travelling by land, sea, or air vehicle, and spatial location, direction, or stasis."
geography_and_places,"Geographic terms and place names, both common and proper."
number_quantity_and_order,"Numbers, mathematics, linear order, amount, entirety, and frequency."
physical_measurement_dimensions,"Measured physical dimensions such as size, distance, volume, weight, area, length, and speed."
matter_objects_and_handling,"Substances and physical objects, and the actions of getting, giving, and physically moving them."
physical_appearance_and_properties,"Perceptible surface properties of things: appearance, colour, shape, texture, and temperature."
science_technology_and_electronics,"Science, information technology and computing, and electrical equipment."
inquiry_discovery_and_education,"Investigating, learning, discovering or revealing, and formal education."
core_cognition_and_belief,"Thinking, believing, understanding, expecting, and abstract mental objects or methods."
sensory_perception,"The five senses of taste, sound, touch, sight, and smell."
volition_and_capability,"Deciding, wanting, trying, and the ability to succeed or fail at something."
language_and_communication,"Speech, writing, telecommunication, and the structure of language itself."
cosmos_weather_and_environment,"The universe, light, weather, and ecological or environmental concern."
personality_traits,"Dispositional character traits such as friendliness, avarice, egoism, politeness, toughness, and good sense."
sociality_reciprocity_and_belonging,"General social interaction, reciprocity, participation, desert, group affiliation, and mutual help."
people_and_gender,Generic terms for people marked by gender.
kinship_and_relationships,"Family and kin ties, and personal or intimate relationships."
hierarchy_power_and_status,"Organizing power, respect, and competitive standing among people."
religion_and_supernatural,"Religion, faith, and the supernatural."
time_reference_and_tense,"Time in general and its grammaticalized past, present, and future reference."
duration_phase_and_age,"Duration, beginnings and endings, age, and earliness or lateness."
personal_names,"Proper names for people, with gender variants."
other_proper_names,"Proper names other than personal or geographic ones, such as organizations or brands."
pronouns,"Pronominal forms, with gender variants."
logical_modal_and_discourse_operators,"Modality, negation, conditionality, chance, seeming, and discourse/grammar-bin items."
