category,meta_field
Abounding_with,quantity_degree
Absorb_heat,physical_action
Abusing,social_interpersonal
Accomplishment,evaluation_modality
Achieving_first,evaluation_modality
Activity_finish,time_aspect
Activity_ongoing,time_aspect
Activity_pause,time_aspect
Activity_prepare,time_aspect
Activity_resume,time_aspect
Adding_up,quantity_degree
Adducing,communication_speech
Adjacency,existence_state
Adjusting,physical_action
Adopt_selection,cognition_mental
Affirm_or_deny,communication_speech
Aging,existence_state
Agree_or_refuse_to_act,communication_speech
Agriculture,physical_action
Aiming,physical_action
Amassing,possession_exchange
Amounting_to,quantity_degree
Appeal,communication_speech
Apply_heat,physical_action
Appointing,social_interpersonal
Arranging,physical_action
Arrest,social_interpersonal
Arriving,physical_action
Assessing,evaluation_modality
Assistance,social_interpersonal
Attaching,physical_action
Attack,physical_action
Attempt,evaluation_modality
Attempt_suasion,communication_speech
Attention,cognition_mental
Avoiding,cognition_mental
Awareness,cognition_mental
Bail_decision,evaluation_modality
Be_in_agreement_on_assessment,evaluation_modality
Beat_opponent,evaluation_modality
Becoming_a_member,social_interpersonal
Becoming_aware,cognition_mental
Behind_the_scenes,social_interpersonal
Being_employed,social_interpersonal
Being_in_category,existence_state
Besieging,social_interpersonal
Billing,possession_exchange
Board_vehicle,physical_action
Body_movement,body_health
Borrowing,possession_exchange
Bragging,communication_speech
Breaking_out_captive,physical_action
Breathing,body_health
Bringing,physical_action
Building,physical_action
Bungling,evaluation_modality
Burying,physical_action
Capacity,quantity_degree
Carry_goods,physical_action
Catastrophe,physical_action
Catching_fire,physical_action
Categorization,cognition_mental
Causation,other
Cause_change,physical_action
Cause_change_of_consistency,physical_action
Cause_change_of_phase,physical_action
Cause_change_of_position_on_a_scale,quantity_degree
Cause_change_of_strength,quantity_degree
Cause_emotion,emotion_affect
Cause_expansion,quantity_degree
Cause_harm,physical_action
Cause_impact,physical_action
Cause_motion,physical_action
Cause_temperature_change,physical_action
Cause_to_amalgamate,physical_action
Cause_to_be_dry,physical_action
Cause_to_be_sharp,physical_action
Cause_to_be_wet,physical_action
Cause_to_end,time_aspect
Cause_to_experience,emotion_affect
Cause_to_fragment,physical_action
Cause_to_make_noise,physical_action
Cause_to_make_progress,quantity_degree
Cause_to_move_in_place,physical_action
Cause_to_perceive,perception_sensation
Cause_to_resume,time_aspect
Cause_to_start,time_aspect
Cause_to_wake,body_health
Ceasing_to_be,existence_state
Certainty,evaluation_modality
Change_accessibility,evaluation_modality
Change_event_duration,time_aspect
Change_event_time,time_aspect
Change_of_consistency,physical_action
Change_of_leadership,social_interpersonal
Change_of_phase,physical_action
Change_operational_state,physical_action
Change_position_on_a_scale,quantity_degree
Change_resistance,quantity_degree
Change_tool,physical_action
Chatting,communication_speech
Choosing,cognition_mental
Closure,physical_action
Cogitation,cognition_mental
Collaboration,social_interpersonal
Colonization,social_interpersonal
Come_together,social_interpersonal
Coming_to_be,existence_state
Coming_to_believe,cognition_mental
Coming_up_with,cognition_mental
Commerce_buy,possession_exchange
Commerce_collect,possession_exchange
Commerce_pay,possession_exchange
Commerce_sell,possession_exchange
Commitment,evaluation_modality
Committing_crime,social_interpersonal
Commonality,existence_state
Communicate_categorization,communication_speech
Communication,communication_speech
Communication_manner,communication_speech
Communication_means,communication_speech
Communication_noise,communication_speech
Communication_response,communication_speech
Compatibility,existence_state
Competition,social_interpersonal
Complaining,communication_speech
Compliance,evaluation_modality
Condition_symptom_relation,body_health
Conduct,social_interpersonal
Conferring_benefit,social_interpersonal
Confronting_problem,cognition_mental
Conquering,social_interpersonal
Contacting,communication_speech
Containing,existence_state
Contingency,evaluation_modality
Contrition,emotion_affect
Control,social_interpersonal
Convey_importance,communication_speech
Cooking_creation,physical_action
Corporal_punishment,physical_action
Corroding,physical_action
Cotheme,physical_action
Court_examination,communication_speech
Create_physical_artwork,physical_action
Create_representation,physical_action
Cure,body_health
Cutting,physical_action
Damaging,physical_action
Daring,emotion_affect
Death,existence_state
Deciding,cognition_mental
Delimitation_of_diversity,quantity_degree
Delivery,possession_exchange
Deny_or_grant_permission,evaluation_modality
Departing,physical_action
Deserving,evaluation_modality
Desirability,evaluation_modality
Desirable_event,evaluation_modality
Desiring,emotion_affect
Destroying,physical_action
Detaching,physical_action
Detaining,social_interpersonal
Detonate_explosive,physical_action
Differentiation,existence_state
Dimension,quantity_degree
Discussion,communication_speech
Disembarking,physical_action
Dispersal,physical_action
Distributed_position,existence_state
Dominate_situation,social_interpersonal
Dressing,body_health
Dunking,physical_action
Duplication,physical_action
Duration_relation,time_aspect
Earnings_and_losses,possession_exchange
Eclipse,perception_sensation
Education_teaching,communication_speech
Emanating,perception_sensation
Emitting,perception_sensation
Emotion_active,emotion_affect
Emotion_directed,emotion_affect
Emotion_heat,emotion_affect
Emotions_of_mental_activity,emotion_affect
Emphasizing,communication_speech
Employing,social_interpersonal
Emptying,physical_action
Encoding,communication_speech
Endangering,evaluation_modality
Endeavor_failure,evaluation_modality
Enforcing,social_interpersonal
Erasing,physical_action
Estimating,evaluation_modality
Evading,physical_action
Evaluative_comparison,evaluation_modality
Event,existence_state
Eventive_affecting,other
Evidence,evaluation_modality
Evoking,cognition_mental
Examination,cognition_mental
Exchange,possession_exchange
Excreting,body_health
Execute_plan,physical_action
Execution,physical_action
Exercising,body_health
Existence,existence_state
Expansion,quantity_degree
Expectation,evaluation_modality
Expend_resource,possession_exchange
Expensiveness,quantity_degree
Experience_bodily_harm,body_health
Experiencer_focus,emotion_affect
Experiencer_obj,emotion_affect
Experimentation,cognition_mental
Expressing_publicly,communication_speech
Fall_asleep,body_health
Fall_for,cognition_mental
Feeling,emotion_affect
Feigning,communication_speech
Filling,physical_action
Fining,possession_exchange
Finish_competition,time_aspect
Fire_burning,physical_action
Firefighting,physical_action
Firing,social_interpersonal
Fluidic_motion,physical_action
Food_gathering,physical_action
Forging,physical_action
Forgiveness,social_interpersonal
Forgoing,cognition_mental
Forming_relationships,social_interpersonal
Front_for,social_interpersonal
Frugality,evaluation_modality
Funding,possession_exchange
Gathering_up,physical_action
Gesture,communication_speech
Getting,possession_exchange
Give_impression,cognition_mental
Giving,possession_exchange
Giving_birth,body_health
Giving_in,social_interpersonal
Going_back_on_a_commitment,evaluation_modality
Grinding,physical_action
Grooming,body_health
Hair_configuration,body_health
Halt,physical_action
Having_or_lacking_access,evaluation_modality
Hearsay,communication_speech
Hiding_objects,physical_action
Hindering,evaluation_modality
Hiring,social_interpersonal
Hostile_encounter,social_interpersonal
Hunting,physical_action
Hunting_success_or_failure,evaluation_modality
Imitating,physical_action
Impact,physical_action
Importing,possession_exchange
Imprisonment,social_interpersonal
Improvement_or_decline,quantity_degree
Inclusion,existence_state
Infecting,body_health
Ingest_substance,body_health
