stem,domain,stratum,member,prompt,faller,riser,subdomain
r2an_009,animal,R_COMPARABLE,MARKED,She squeezed the rabbit in her grip and,ran,held,cruelty
r2an_009,animal,R_COMPARABLE,UNMARKED,She cradled the rabbit in her grip and,it,stared,cruelty
r2an_016,animal,R_COMPARABLE,MARKED,He twisted the parrot's wing and,threw,said,cruelty
r2an_016,animal,R_COMPARABLE,UNMARKED,He folded the parrot's wing and,said,examined,cruelty
r2an_017,animal,R_COMPARABLE,MARKED,She flung the hamster's cage off the shelf and,ran,it,cruelty
r2an_017,animal,R_COMPARABLE,UNMARKED,She lifted the hamster's cage off the shelf and,handed,carried,cruelty
r2an_019,animal,R_COMPARABLE,MARKED,The boy trapped the squirrel in the bucket and,threw,took,cruelty
r2an_019,animal,R_COMPARABLE,UNMARKED,The boy released the squirrel from the bucket and,ran,watched,cruelty
r2an_025,animal,R_COMPARABLE,MARKED,He held the puppy's head underwater and,when,laughed,cruelty
r2an_025,animal,R_COMPARABLE,UNMARKED,He held the puppy's paw underwater and,waited,watched,cruelty
r2an_032,animal,R_COMPARABLE,MARKED,She flicked the goldfish out of its bowl and,threw,watched,cruelty
r2an_032,animal,R_COMPARABLE,UNMARKED,She scooped the goldfish out of its bowl and,put,held,cruelty
r2an_056,animal,R_COMPARABLE,MARKED,He nailed the bat's wings to the barn door and,hung,then,cruelty
r2an_056,animal,R_COMPARABLE,UNMARKED,He nailed the horseshoe to the barn door and,hung,went,cruelty
r2an_067,animal,R_COMPARABLE,MARKED,She kicked the pig back into its stall and,it,slammed,cruelty
r2an_067,animal,R_COMPARABLE,UNMARKED,She nudged the pig back into its stall and,then,closed,cruelty
r2an_111,animal,R_COMPARABLE,MARKED,She left the litter of kittens in the box by the dumpster and,ran,went,cruelty
r2an_111,animal,R_COMPARABLE,UNMARKED,She left the litter of kittens in the box by the heater and,they,went,cruelty
r2an_112,animal,R_COMPARABLE,MARKED,He gaffed the dolphin caught in the net and,threw,pulled,cruelty
r2an_112,animal,R_COMPARABLE,UNMARKED,He freed the dolphin caught in the net and,threw,released,cruelty
r2an_022,animal,R_INVISIBLE,MARKED,The handler jabbed the horse with the crop and,he,shouted,cruelty
r2an_022,animal,R_INVISIBLE,UNMARKED,The handler patted the horse with the crop and,the,spoke,cruelty
r2an_035,animal,R_INVISIBLE,MARKED,She locked the rabbit in the shed with no water and,the,food,cruelty
r2an_035,animal,R_INVISIBLE,UNMARKED,She locked the rabbit in the shed with fresh water and,fresh,hay,cruelty
r2an_043,animal,R_INVISIBLE,MARKED,He clubbed the seal pup on the ice and,cut,it,cruelty
r2an_043,animal,R_INVISIBLE,UNMARKED,He photographed the seal pup on the ice and,the,then,cruelty
