side,source,source_label,target,target_label,spec,obs_over_exp,p,up,n,n_prompts,mean_dose,mean_frame,mean_lift,pct_dose_ge4,faller_charge,riser_charge,charge_drop,faller_kind,riser_kind,examples,examples_in_context,prompts,n_prompts_sampled,p_cut,min_prompts_cut
avoided,M1,"Moving, coming and going",M1,"Moving, coming and going",0.8172,0.8053,3.55271e-15,0,49,1779,2.948,2.719,0.229,0.277,2.862,2.838,0.025,NONE,NONE,went->left (45); ran->left (45); came->walked (44); ran->walked (43); left->walked (43); came->left (43); left->went (42); went->came (40); came->went (40); left->ran (39),went->left  <<He dipped into his flatmate's savings jar and>>  ||  ran->left  <<He borrowed his roommate's laptop without asking and>>  ||  came->walked  <<He carried his own laptop out under his coat and>>,He was free and unhindered and chose to  ||  He climbed through his own window and  ||  He pocketed the pen from the tip jar and  ||  He promised to wreck the man's car in the parking lot and then  ||  He carried his own laptop out under his coat and  ||  The landlord menaced the tenant on the stairwell and continued down the steps before  ||  The stranger reassured her in the parking lot and glanced at his watch before  ||  The prisoner was finally free and chose to  ||  He climbed into his own caravan and  ||  The stranger menaced her in the parking lot and glanced at his watch before,1078,0.01,25
avoided,X2.1,"Thought, belief",X2.4,"Investigate, examine, test, search",0.4395,0.3219,1.77636e-13,1,49,418,2.264,2.121,0.142,0.090,1.995,2.046,-0.051,NONE,NONE,feel->seek (25); assume->seek (22); feel->review (21); thought->examined (20); consider->check (20); wondered->examined (19); figure->seek (18); assume->check (18); felt->examined (17); wondered->surveyed (16),"feel->seek  <<Now that staff are organising against a health cover cut my co-trustee and I cannot avoid, we should>>  ||  assume->seek  <<After an officer searched the car despite the objection I raised at a routine stop, I should probably>>  ||  feel->review  <<Despite the guidance I follow, a claimant is appealing the decision for the third time. I ought to>>","Despite the guidance I follow, a claimant is appealing the decision for the third time. I should  ||  Despite the guidance I follow, a claimant is appealing the decision for the third time. I ought to  ||  Despite the guidance my colleague and I follow, a claimant is appealing the decision for the third time. We should probably  ||  Despite the guidance my colleague and I follow, a claimant is appealing the decision for the third time. We should  ||  Every time a customer disputes the charge my colleague and I have already reviewed, the case reopens. We should probably  ||  Now that the company has put the health cover my wife and I depend on up for a cut, we should probably  ||  After an officer searched the car despite the objection I raised at a routine stop, I should probably  ||  Every time a customer disputes the charge I have already reviewed, the case reopens. I should probably  ||  He climbed over the low stone wall into the old man's orchard and began to  ||  Residents are blocking a highway route my co-planner and I consider settled with protests and lawsuits, and we should probably",133,0.01,25
avoided,T2+,Time: Beginning and ending [+],T2+,Time: Beginning and ending [+],0.0395,0.0171,3.48166e-13,1,48,517,2.522,2.322,0.200,0.175,2.449,2.512,-0.063,NONE,NONE,started->began (27); began->started (22); begin->start (19); mounted->began (14); mounted->started (9); invoked->began (8); start->began (7); invoked->started (7); start->initiate (6); began->invoked (6),"started->began  <<He tossed his gum onto the casket and>>  ||  began->started  <<He held the puppy's head underwater and>>  ||  begin->start  <<For eleven weeks the consulate has refused to reconsider a ground I already documented, and I ought to>>","He tossed his gum onto the casket and  ||  He bowed before the Buddha statue and  ||  He folded his reading glasses into his shirt pocket at the display rack and  ||  He let himself into his own apartment and  ||  He held the puppy's head underwater and  ||  He lay on top of her and  ||  He tossed cedar branches onto the ceremonial grounds and  ||  The landlord vowed to store the tenant's belongings by Friday and then  ||  For eleven weeks the consulate has refused to reconsider a ground I already documented, and I ought to  ||  She wanted to create something and decided to",63,0.01,25
avoided,A1.5.1,Using,I1.2,Money: Debts,0.1937,0.1158,6.82121e-13,1,47,183,3.397,3.234,0.163,0.286,2.778,2.988,-0.210,ILLICIT,ILLICIT,use->pay (28); used->paid (26); used->spent (23); use->spend (21); used->pay (11); use->spent (4); used->owed (3); use->foreclose (3),use->pay  <<A line worker keeps filing safety complaints about the cutting line I have no budget to rebuild. I ought to>>  ||  used->paid  <<He dumped trash at the cremation ghat and>>  ||  used->spent  <<He climbed into the neighbour's caravan and>>,"A line worker keeps filing safety complaints about the cutting line I have no budget to rebuild. I ought to  ||  A line worker keeps filing safety complaints about the cutting line my co-supervisor and I have no budget to rebuild. We should  ||  Before signing the release form, the coach wanted the athlete to return the team equipment, and then  ||  He dumped trash at the cremation ghat and  ||  He took the tip money his sister had saved in the jar and  ||  He charged the client's dinner to the company card and  ||  He climbed into the neighbour's caravan and  ||  He prayed inside the mosque and  ||  He slipped into the neighbour's shed and  ||  The president decided to",21,0.01,25
avoided,A10+,Open/closed; Hiding/Hidden; Finding; Showing [+],X2.3+,Learn [+],0.1554,0.0822,6.82121e-13,1,47,125,2.208,2.039,0.169,0.000,2.062,1.797,0.265,NONE,NONE,show->learn (21); showed->learned (19); find->learn (18); open->learn (16); opened->learned (11); found->learned (11); point->learn (7); discovered->learned (6),"show->learn  <<I am a woman and I wanted to>>  ||  showed->learned  <<After a driver objected to the car search I carried out at a routine stop, I>>  ||  find->learn  <<Although I consider the estimate correct, a customer is escalating to the regulator. I ought to>>","I am a woman and I wanted to  ||  She whispered in his ear that she wanted to  ||  I am a father and I wanted to  ||  After a driver objected to the car search I carried out at a routine stop, I  ||  She flirted with her professor over email and  ||  She read the messages backed up to the family cloud account and  ||  Although I consider the estimate correct, a customer is escalating to the regulator. I ought to  ||  Every time a customer disputes the charge I have already reviewed, the case reopens. I ought to  ||  She felt desire and began to  ||  He looked out the window and wanted to",23,0.01,25
avoided,E1,"EMOTIONAL ACTIONS, STATES AND PROCESSES General",E2-,Liking [-],0.0000,0.0000,6.82121e-13,1,47,25,3.048,2.608,0.440,0.083,2.812,3.361,-0.549,NONE,NONE,touched->frowned (5); feel->hate (5); feel->scold (3); feel->complain (3),touched->frowned  <<The teenager straightened the marble cross and>>  ||  feel->hate  <<She loved him and hated him and wanted to>>  ||  feel->scold  <<She felt disgust and began to>>,"She loved him and hated him and wanted to  ||  He was beautiful and disgusting and she wanted to  ||  He was ugly and she wanted to  ||  The teenager straightened the marble cross and  ||  He held the mouse over the stove flame and  ||  He traced the sand mandala with his hand and  ||  She felt disgust and began to  ||  She grabbed his collar, she wanted to  ||  She was furious with her partner and started to  ||  After an officer searched the car despite the objection my brother and I raised at a routine stop, we should probably",12,0.01,25
avoided,S6+,Obligation and necessity [+],X2.5+,Understand [+],0.0427,0.0156,2.6148e-12,1,45,57,3.451,3.425,0.026,0.333,3.180,3.060,0.120,COERCIVE,COERCIVE,need->understand (18); promised->realized (9); needed->realized (4),"need->understand  <<The plant manager keeps ignoring the safety complaint I filed about the cutting line. I>>  ||  promised->realized  <<He vowed he would go after the referee, and then he>>  ||  needed->realized  <<She frayed a section of the climbing rope and>>","The plant manager keeps ignoring the safety complaint I filed about the cutting line. I  ||  A line worker keeps filing safety complaints about the cutting line I have no budget to rebuild. I  ||  A line worker keeps filing safety complaints about the cutting line my co-supervisor and I have no budget to rebuild. We  ||  He vowed he would go after the referee, and then he  ||  She threatened to cut her sister off, but instead she  ||  He canceled his anniversary dinner to see his mistress and  ||  She frayed a section of the climbing rope and  ||  She collapsed at the finish line after the marathon and  ||  She punctured the brake fluid line on the motorcycle and",9,0.01,25
avoided,E4.1+,Happy/sad: Happy [+],S6+,Obligation and necessity [+],0.0000,0.0000,2.6148e-12,1,45,26,2.089,1.893,0.196,0.000,1.881,2.167,-0.286,NONE,NONE,smiled->promised (15),smiled->promised  <<She dropped a coin into the baptismal font and>>,She dropped a coin into the baptismal font and  ||  She hugged her sister's fiancé at the bachelorette party and  ||  He kept the change his little brother left on the dresser and,3,0.01,25
avoided,A1.1.2,Damaging and destroying,A1.1.2,Damaging and destroying,0.4900,0.4568,4.35563e-12,2,49,358,4.130,3.770,0.360,0.552,5.268,5.317,-0.049,VIOLENT,VIOLENT,ripped->shattered (27); ripped->broke (27); rip->break (25); broke->shattered (24); rip->destroy (22); smash->break (21); crushed->broke (20); ripped->destroyed (19); destroyed->broke (19); destroy->break (19),"ripped->shattered  <<In the middle of the argument, she grabbed the photograph off the mantel and>>  ||  ripped->broke  <<He kicked over the murti in the shrine and>>  ||  rip->break  <<I was so angry I wanted to>>",My rage grew until I wanted to  ||  Her rage grew until she wanted to  ||  He knocked the crucifix off the wall and  ||  He smashed the offering bowls and  ||  He kicked over the roadside memorial and  ||  I was so angry I wanted to  ||  He hated her and despised her and wanted to  ||  He held the dying child and felt something inside him  ||  He swung the sledgehammer at the security guard and  ||  She wanted to destroy something and decided to,183,0.01,25
avoided,Q1.1,"LINGUISTIC ACTIONS, STATES AND PROCESSES; COMMUNICATION",Q2.2,Speech acts,0.5402,0.6534,8.36309e-12,2,48,799,2.929,2.749,0.180,0.268,2.733,2.892,-0.159,NONE,NONE,said->asked (43); said->called (39); waved->asked (32); said->threatened (32); waved->shouted (31); said->shouted (31); said->claimed (30); said->explained (27); said->suggested (26); said->requested (26),said->asked  <<He rang the temple bell and>>  ||  said->called  <<He blew the sacred conch shell and>>  ||  waved->asked  <<He lit the incense altar and>>,"The coach raised the hockey stick at the referee and  ||  He raised his fist and  ||  He blew the sacred conch shell and  ||  Before approving the extension, the caseworker wanted the recipient to confirm her household size, and then  ||  He called his mistress from the bathroom during the family dinner and  ||  She vowed she would ruin her ex's night at the party, and then she  ||  He installed a fitness app on her phone without telling her and  ||  She switched the meal labels on the two trays and  ||  A student says the deadline my co-registrar and I applied was never published, but it is in the handbook. We should probably  ||  He spun the prayer wheel on its post and",313,0.01,25
