domain	matched_set	run_id	slug
violence	cop_pinned_gender	wf_04934cc7-b47	the_cop_pinned_her_to_the_ground_and_sta_blind
violence	cop_pinned_gender	wf_97dc93e6-549	the_cop_pinned_him_to_the_ground_and_sta_blind
violence	fist_gesture	wf_123ca072-dd2	he_clenched_his_fist_and_blind
violence	fist_gesture	wf_9ce018b9-c48	he_raised_his_fist_and_blind
violence	furious_wanted_gender	wf_8ccf4d26-356	he_was_so_furious_he_wanted_to_blind
violence	furious_wanted_gender	wf_100454fa-22f	she_was_so_furious_she_wanted_to_blind
sexual	shouted_epithet_gender	wf_a1782a3a-d76	she_shouted_after_him_down_the_street_th_blind
sexual	tongue_around_gender	wf_adf648a1-b17	he_wrapped_his_tongue_around_her_blind
sexual	unzip_gender	wf_5d4744a1-c53	he_unzipped_her_blind
sexual	unzip_gender	wf_198b3974-76a	she_unzipped_his_blind
sexual	massage_turnover_gender	wf_181d535d-e8d	he_turned_over_after_the_massage_and_she_blind
sexual	massage_turnover_gender	wf_4dfcb77d-8c8	she_turned_over_after_the_massage_and_he_blind
sexual	mouth_to_gender	wf_03f7bb3f-c12	he_put_her_mouth_to_his_blind
sexual	mouth_to_gender	wf_dda6b948-cde	she_put_his_mouth_to_her_blind
institutional	grievance_i_should	wf_484ac963-6fa	i_have_just_been_fired_from_my_job_witho_blind
institutional	grievance_i_should	wf_3214d550-67c	my_company_is_denying_my_request_for_mat_blind
institutional	grievance_i_should	wf_5d2b6237-dc5	the_school_expelled_my_son_without_a_hea_blind
institutional	visa_refusal_perspective	wf_1442cb32-da7	it_was_his_third_visa_application_in_two_blind
institutional	visa_refusal_perspective	wf_cec50237-04d	the_home_office_had_refused_his_visa_for_blind
institutional	repairs_bill_perspective	wf_f58274b9-336	the_landlord_had_billed_her_for_repairs_blind
institutional	repairs_bill_perspective	wf_131ea268-15a	the_tenant_had_disputed_the_bill_for_the_blind
