text,basic_idx,orig_idx,jaccard,basic_words,orig_words,basic,original
anderson.little-match-girl,0,0,0.3516,263,185,"It was cruelly cold and nearly dark in the last day of the old year, and the snow was quickly falling. In the cold and the dark, a poor little girl, without a hat and shoes, was walking about through the streets. It is true she had had slippers on when she came out of her living place, but they were not of much use. Their size was so great that their owner was in fact her mother, And they came off when the poor little thing was running across the street to keep away from two carriages that were moving at a violently quick rate. She had no idea where one of the slippers had gone, and a boy took the other and went running away with it and saying that he might make it a baby-bed, when he had his babies. So the little girl went on with her little uncovered feet, which were quite red and blue with the coldest in an old dust-skirt she had a great number of matches, and had a parcel of them in her hands. After the walk of all day, no one had got a match from her, and no one had given her the smallest amount of money. Shaking with cold and in strong need for food, she went walking slowly like a worm; The poor little girl was the picture of very sad existence. Feather-like snow was falling on her long, beautiful hair, which was hanging in rings and waves on her upper arms, but she did not give attention to them.","It was so terribly cold. Snow was falling, and it was almost dark. Evening came on, the last evening of the year. In the cold and gloom a poor little girl, bareheaded and barefoot, was walking through the streets. Of course when she had left her house she'd had slippers on, but what good had they been? They were very big slippers, way too big for her, for they belonged to her mother. The little girl had lost them running across the road, where two carriages had rattled by terribly fast. One slipper she'd not been able to find again, and a boy had run off with the other, saying he could use it very well as a cradle some day when he had children of his own. And so the little girl walked on her naked feet, which were quite red and blue with the cold. In an old apron she carried several packages of matches, and she held a box of them in her hand. No one had bought any from her all day long, and no one had given her a cent."
anderson.little-match-girl,1,2,0.2181,326,93,"Lights were coming out of every window, and there was a good smell coming out of the meat of a great water bird cooked in the oven, for it was the last day of the year. Yes, she saw it was the day. She got herself down between two houses, one of which was greater than the other and coming out to the street. So the two walls made an angle, where she made herself folded low. She put her little feet under her, but it was not possible to keep off the cold; And fear kept her from going back to her living place, for she had done no trade today, and had no money. Her father would certainly give her blows; and it was almost as cold there as here, for they had only the roof over them, through which the wind made a crying sound, though the greatest holes had been stopped up with dried grass and old cloths. Her little hands were like ice from the cold. Ah! She said to herself, probably a burning match might do some good, if it was possible for her to take it out of the parcel and give it a quick rub against the wall, only to make her fingers warm. She took one out - and brush! How it gave out soft bursts, burning! It gave a warm, bright rays, like a little wax-light, as she kept her hand over it. It was truly an uncommon light. It seemed to the little girl that she was seated by a great iron heater, with polished brass feet and a brass ornament. How the fire was burning! And it seemed so beautiful and warm that the girl had her feet stretched out as if to make them warm, when, sadly, the flame of the match went out, the heater went out of view, and she had in her hand only what had been a match, half-burned.","In a corner formed by two houses, one of which projected farther out into the street than the other, she sat down and drew up her little feet under her. She was getting colder and colder, but did not dare to go home, for she had sold no matches, nor earned a single cent, and her father would surely beat her. Besides, it was cold at home, for they had nothing over them but a roof through which the wind whistled even though the biggest cracks had been stuffed with straw and rags."
anderson.little-match-girl,2,3,0.2214,135,134,"She put another match on the wall and gave it a rub. With a burst the match went into a flame, and its light came upon the wall, where it went as white as a thin curtain, and she was able to see into the room. The table was covered with a snow-white cloth, on which was put together beautifully cooked meal, with the meat of a water bird, steaming hot and round with apples and dried fruits inside. And what was still more surprising, the waterfowl, the bird meat, made a jump down from the plate and made a baby-like walk across the floor, with a knife and fork in its chest, to the little girl. Then the match went out, and there was nothing but the thick, wet and cold wall before her.","Her hands were almost dead with cold. Oh, how much one little match might warm her! If she could only take one from the box and rub it against the wall and warm her hands. She drew one out. R-r-ratch! How it sputtered and burned! It made a warm, bright flame, like a little candle, as she held her hands over it; but it gave a strange light! It really seemed to the little girl as if she were sitting before a great iron stove with shining brass knobs and a brass cover. How wonderfully the fire burned! How comfortable it was! The youngster stretched out her feet to warm them too; then the little flame went out, the stove vanished, and she had only the remains of the burnt match in her hand."
anderson.little-match-girl,3,4,0.2797,84,205,"She had another match lighted, and then she saw herself seated under a beautiful Christmas-tree. It was greater and more beautifully ornamented than the one which she had seen through the glass door at the great house of the businessman. Great numbers of waxed threads were burning upon the green branches, and colored pictures, like those she had seen in the store windows, were looking down upon it all. The little one put her hand stretched out to them, and the match went out.","She struck another match against the wall. It burned brightly, and when the light fell upon the wall it became transparent like a thin veil, and she could see through it into a room. On the table a snow-white cloth was spread, and on it stood a shining dinner service. The roast goose steamed gloriously, stuffed with apples and prunes. And what was still better, the goose jumped down from the dish and waddled along the floor with a knife and fork in its breast, right over to the little girl. Then the match went out, and she could see only the thick, cold wall. She lighted another match. Then she was sitting under the most beautiful Christmas tree. It was much larger and much more beautiful than the one she had seen last Christmas through the glass door at the rich merchant's home. Thousands of candles burned on the green branches, and colored pictures like those in the printshops looked down at her. The little girl reached both her hands toward them. Then the match went out. But the Christmas lights mounted higher. She saw them now as bright stars in the sky. One of them fell down, forming a long line of fire."
anderson.little-match-girl,4,5,0.3088,83,39,"The Christmas lights went higher and higher, till they were like the stars in the sky. Then she saw a star falling, with a bright tail of fire in the back. "" Someone is going to death, "" the little girl said to herself, for her mother's mother, the only one who had ever given love to her, but now dead, had said to her that when there was a starfall, someone gave up the body and went up to the Great One.","""Now someone is dying,"" thought the little girl, for her old grandmother, the only person who had loved her, and who was now dead, had told her that when a star fell down a soul went up to God."
anderson.little-match-girl,5,8,0.264,182,76,"Again she gave a rub to a match, and the light came moving round her. In the bright ring, on her feet, was the kind old woman, giving out clear lights, but still looking soft and full of love. "" Grandmother, "" the little one gave a cry, "" Oh ! Take me with you. I'm certain you'll go away when the match's out. You'll be out of view like the warm heater, the cooked fowl, and the great, beautiful Christmas tree. "" And she quickly put light to all the matches in the parcel, because she had a strong desire to keep the woman there. And the matches gave a great light that was brighter than the light in the middle of the day, and the woman had never been looking so great or so beautiful. She took the little girl in her arms, and the two went, bright and happy, far and far up and away from the earth, to the place where there was no need for food, no cold, no pain, because they were with the Great One.","And she quickly struck the whole bundle of matches, for she wished to keep her grandmother with her. And the matches burned with such a glow that it became brighter than daylight. Grandmother had never been so grand and beautiful. She took the little girl in her arms, and both of them flew in brightness and joy above the earth, very, very high, and up there was neither cold, nor hunger, nor fear-they were with God."
anderson.little-match-girl,6,9,0.3111,123,56,"In the early morning, there on the earth, was the poor little one, her mouth smiling and the sides of her face white, with her weight against the wall; Her body was hard from the cold in the last night of the year; And the New Year's sun came up and put light upon a little body, now dead! The girl was still in a seated position, with her hard body and the matches in her hand, one parcel of which was burned. "" She made attempts to make herself warm, "" said some. They had no idea what beautiful things she had seen, and no idea what a great light she had gone into with her old woman, on New Year's Day.","But in the corner, leaning against the wall, sat the little girl with red cheeks and smiling mouth, frozen to death on the last evening of the old year. The New Year's sun rose upon a little pathetic figure. The child sat there, stiff and cold, holding the matches, of which one bundle was almost burned."
hemingway.cat-in-the-rain,0,0,0.626,231,194,There were only two Americans stopping at the hotel. They did not know any of the people they went through on the flight of steps to and from their room. Their room was on the second floor facing the sea. It also faced the public garden and the stone work in the memory of war. There were big trees and green long seats in the public garden. In the good weather there was always a painter with his support for picture. Painters liked the way the trees grew and the bright colors of the hotels facing the gardens and the sea. Italians came from a long way off to look up at the work of art in the memory of war. It was made of metal of copper and tin and was bright in the rain. It was raining. The rain came drop by drop from the trees. Water was in small stretches of water on the small-stone path. The sea came loose in a long line in the rain and slipped back down the edge of sea to come up and loose again in a long line in the rain. The motor cars were gone from the square by the work of art in the memory of war. Across the square in the doorway of the café a waiter was looking out at the square with nobody and nothing in.,There were only two Americans stopping at the hotel. They did not know any of the people they passed on the stairs on their way to and from their room. Their room was on the second floor facing the sea. It also faced the public garden and the war monument. There were big palms and green benches in the public garden. In the good weather there was always an artist with his easel. Artists liked the way the palms grew and the bright colors of the hotels facing the gardens and the sea. Italians came from a long way off to look up at the war monument. It was made of bronze and glistened in the rain. It was raining. The rain dripped from the palm trees. Water stood in pools on the gravel paths. The sea broke in a long line in the rain and slipped back down the beach to come up and break again in a long line in the rain. The motor cars were gone from the square by the war monument. Across the square in the doorway of the café a waiter stood looking out at the empty square.
hemingway.cat-in-the-rain,1,1,0.4902,54,41,The American wife was at the window looking out. Outside right under their window a cat was bent over under one of the green tables from which water was coming drop by drop. The cat was attempting to make herself take up the least possible space that the drops would not come on her.,The American wife stood at the window looking out. Outside right under their window a cat was crouched under one of the dripping green tables. The cat was trying to make herself so compact that she would not be dripped on.
hemingway.cat-in-the-rain,2,2,0.7692,12,11,"""I'm going down and get that young cat,"" the American wife said.","""I'm going down and get that kitty,"" the American wife said."
hemingway.cat-in-the-rain,3,3,1.0,9,9,"""I'll do it,"" her husband offered from the bed.","""I'll do it,"" her husband offered from the bed."
hemingway.cat-in-the-rain,4,4,0.7222,16,15,"""No, I'll get it. The poor young cat out attempting to keep dry under a table.""","""No, I'll get it. The poor kitty out trying to keep dry under a table."""
hemingway.cat-in-the-rain,5,5,0.5789,19,18,"The husband went on reading, being at rest supported with the two cushions at the foot of the bed.","The husband went on reading, lying propped up with the two pillows at the foot of the bed."
hemingway.cat-in-the-rain,6,6,1.0,5,5,"""Don't get wet,"" he said.","""Don't get wet,"" he said."
hemingway.cat-in-the-rain,7,7,0.6667,41,37,The wife went down steps and the hotel owner got on his feet and bent to her as she went through the office. His desk was at the far end of the office. He was an old man and very tall.,The wife went downstairs and the hotel owner stood up and bowed to her as she passed the office. His desk was at the far end of the office. He was an old man and very tall.
hemingway.cat-in-the-rain,8,8,0.7,9,9,"""Il piove,"" the wife said. She liked the hotel-keeper.","""Il piove,"" the wife said. She liked the hotelkeeper."
hemingway.cat-in-the-rain,9,9,1.0,10,10,"""Si, Si, Signora, brutto tempo. It is very bad weather.""","""Si, si, Signora, brutto tempo. It is very bad weather."""
hemingway.cat-in-the-rain,10,10,0.5556,66,59,"He was behind his desk in the far end of the room that wasn't bright. The wife liked him. She liked the deadly serious way he took any protest. She liked his self-respect. She liked the way he desired to give help to her. She liked the way he was conscious about being a hotel-keeper. She liked his old, face having great force and big hands.","He stood behind his desk in the far end of the dim room. The wife liked him. She liked the deadly serious way he received any complaints. She liked his dignity. She liked the way he wanted to serve her. She liked the way he felt about being a hotel-keeper. She liked his old, heavy face and big hands."
hemingway.cat-in-the-rain,11,11,0.7143,69,63,Liking him she opened the door and looked out. It was raining harder. A man in a rubber cape was passing through the square with nobody in to the café. The cat would be about to the right. Possibly she could go along under the overhanging edge of roof. As she was in the doorway an umbrella opened behind her. It was the maid who looked after their room.,Liking him she opened the door and looked out. It was raining harder. A man in a rubber cape was crossing the empty square to the café. The cat would be around to the right. Perhaps she could go along under the eaves. As she stood in the doorway an umbrella opened behind her. It was the maid who looked after their room.
hemingway.cat-in-the-rain,12,12,1.0,16,16,"""You must not get wet,"" she smiled, speaking Italian. Of course, the hotel-keeper had sent her.","""You must not get wet,"" she smiled, speaking Italian. Of course, the hotel-keeper had sent her."
hemingway.cat-in-the-rain,13,13,0.7,48,45,"With the maid keeping the umbrella over her, she walked along the small-stone footway until she was under their window. The table was there, washed bright green in the rain, but the cat was gone. She hadn't suddenly come up to hopes. The maid looked up at her.","With the maid holding the umbrella over her, she walked along the gravel path until she was under their window. The table was there, washed bright green in the rain, but the cat was gone. She was suddenly disappointed. The maid looked up at her."
hemingway.cat-in-the-rain,14,14,1.0,5,5,"""Ha perduto qualque cosa, Signora?""","""Ha perduto qualque cosa, Signora?"""
hemingway.cat-in-the-rain,15,15,1.0,8,8,"""There was a cat,"" said the American girl.","""There was a cat,"" said the American girl."
hemingway.cat-in-the-rain,16,16,1.0,2,2,"""A cat?""","""A cat?"""
hemingway.cat-in-the-rain,17,17,1.0,3,3,"""Si, il gatto.""","""Si, il gatto."""
hemingway.cat-in-the-rain,18,18,1.0,10,10,"""A cat?"" the maid laughed. ""A cat in the rain?""","""A cat?"" the maid laughed. ""A cat in the rain?"""
hemingway.cat-in-the-rain,19,19,0.8235,18,17,"""Yes,"" she said, ""under the table."" Then, ""Oh, I wanted it so much. I wanted a young cat.""","""Yes,"" she said, ""under the table."" Then, ""Oh, I wanted it so much. I wanted a kitty."""
hemingway.cat-in-the-rain,20,20,0.7,8,8,"When she talked English the maid""s face tightened.",When she talked English the maid's face tightened.
hemingway.cat-in-the-rain,21,21,1.0,13,13,"""Come, Signora,"" she said. ""We must get back inside. You will be wet.""","""Come, Signora,"" she said. ""We must get back inside. You will be wet."""
hemingway.cat-in-the-rain,22,23,0.7143,98,85,"""I take it as probable,"" said the American girl. They went back along the small-stone footway and went through in the door. The maid was outside to shut the umbrella. As the American girl went through the office, the padrone bent his head from his desk. Something felt very small and tight inside the girl. The padrone made her feel very small and at the same time really important. She had a momentary feeling of being of greatly important. She went on up the stairs. She opened the door of the room. George was on the bed, reading.","They went back along the gravel path and passed in the door. The maid stayed outside to close the umbrella. As the American girl passed the office, the padrone bowed from his desk. Something felt very small and tight inside the girl. The padrone made her feel very small and at the same time really important. She had a momentary feeling of being of supreme importance. She went on up the stairs. She opened the door of the room. George was on the bed, reading."
